Number    Fibonacci Value     Time (seconds) 
---------------------------------------------
0         0                   0.00
1         1                   0.00
2         1                   0.00
3         2                   0.00
4         3                   0.00
5         5                   0.00
6         8                   0.00
7         13                  0.00
8         21                  0.00
9         34                  0.00
10        55                  0.00
11        89                  0.00
12        144                 0.00
13        233                 0.00
14        377                 0.00
15        610                 0.00
16        987                 0.00
17        1597                0.00
18        2584                0.00
19        4181                0.00
20        6765                0.00
21        10946               0.00
22        17711               0.00
23        28657               0.01
24        46368               0.01
25        75025               0.02
26        121393              0.03
27        196418              0.04
28        317811              0.07
29        514229              0.11
30        832040              0.18
31        1346269             0.28
32        2178309             0.45
33        3524578             0.71
34        5702887             1.12
35        9227465             1.93
36        14930352            3.03
37        24157817            5.18
38        39088169            7.82
39        63245986            12.78
40        102334155           20.43
41        165580141           33.20
42        267914296           53.55
43        433494437           87.17
44        701408733           141.04
45        1134903170          227.17
46        1836311903          428.95
47        2971215073          765.88
48        4807526976          1278.40
49        7778742049          11264.33
50        12586269025         20106.53
